cod_produto,num_edicao,cod_cota_hvct,QTDE_REPARTE_HVCT,qtde_encalhe_hvct
00000001,2417,1,15,0
00000002,2382,1,20,0
00000003,573,1,16,0
00000004,847,1,15,0
00000111,1171,1,20,0
00000111,1172,1,20,0
00000114,1959,1,22,0
00000114,1960,1,25,0
00000133,475,1,52,0
00000441,619,1,100,0
00000444,648,1,42,0
00000446,619,1,40,0
00000446,620,1,35,0
00000552,2316,1,70,0
00000552,2317,1,70,0
00000561,642,1,62,0
00000584,454,1,35,0
00000584,455,1,32,0
00000876,1039,1,40,0
00001051,486,1,14,0
00001406,469,1,3,0
00001840,324,1,60,0
00001840,325,1,72,0
00005198,260,1,40,0
00005198,261,1,45,0
00005416,362,1,40,0
00005499,316,1,60,0
00005499,317,1,65,0
00075650,29,1,90,0
00449206,18,1,16,0
00449206,19,1,16,0
00458963,8,1,10,0
00458963,9,1,10,0
00459861,4,1,60,0
00459861,5,1,60,0
00461314,1,1,60,0
00506500,89,1,40,0
00600501,22,1,40,0
00634508,14,1,15,0
00645900,106,1,16,0
00645900,108,1,18,0
00840600,53,1,25,0
00865800,641,1,24,0
00865800,642,1,40,0
00870501,29,1,100,0
00875100,513,1,50,0
00875100,514,1,70,0
00900188,217,1,50,0
00900188,218,1,55,0
00917800,85,1,12,0
00925100,366,1,50,0
00925100,367,1,52,0
05520076,2317,1,9,0
10128001,75,1,60,0
10962001,178,1,70,0
11016001,185,1,3,0
11034001,168,1,10,0
12046001,329,1,4,0
12458001,164,1,35,0
12458001,165,1,35,0
12459001,164,1,16,0
12496001,265,1,30,0
12496001,266,1,30,0
12499001,163,1,35,0
12504001,163,1,30,0
12506001,163,1,16,0
12519001,709,1,108,0
12519001,710,1,118,0
12561001,704,1,65,0
12561001,705,1,65,0
12561001,706,1,62,0
12786001,400,1,15,0
12788001,681,1,6,0
12788001,682,1,9,0
12788001,683,1,8,0
12824001,64,1,7,0
12858001,169,1,40,0
12904001,157,1,12,0
13007001,1203,1,15,0
13049001,58,1,7,0
13113001,47,1,5,0
13114001,1303,1,20,0
13298001,47,1,15,0
13367001,1301,1,25,0
13374001,51,1,6,0
13486001,84,1,4,0
13538001,54,1,12,0
13672001,97,1,3,0
14089001,96,1,8,0
14178001,137,1,20,0
14178027,138,1,15,0
14181001,137,1,30,0
14182001,120,1,35,0
14184001,101,1,35,0
14186001,137,1,30,0
14187001,136,1,20,0
14187001,137,1,20,0
14188027,72,1,12,0
14328001,137,1,14,0
14328001,138,1,14,0
14363001,137,1,105,0
14365001,308,1,18,0
14367001,241,1,9,0
14407001,13,1,8,0
14419001,129,1,40,0
14419001,130,1,40,0
14548001,131,1,45,0
14614001,34,1,12,0
14615001,121,1,22,0
14685001,22,1,12,0
14738001,127,1,45,0
14904001,124,1,30,0
14904001,125,1,30,0
14905001,124,1,40,0
14905001,125,1,40,0
14906001,124,1,25,0
15018001,130,1,70,0
15024001,122,1,40,0
15024001,123,1,40,0
15037001,205,1,10,0
15199001,292,1,6,0
15209001,137,1,13,0
15209001,138,1,12,0
15215001,189,1,2,0
15254001,1377,1,24,0
15333001,117,1,15,0
15559001,760,1,120,0
15559001,761,1,130,0
15578001,47,1,4,0
15831001,51,1,50,0
15831001,52,1,50,0
15864001,113,1,16,0
15864001,114,1,24,0
15973001,1301,1,2,0
15981001,1303,1,2,0
15998001,101,1,6,0
16038001,42,1,12,0
16038001,43,1,12,0
16055001,113,1,3,0
16099001,18,1,20,0
16189001,22,1,5,0
16206001,111,1,15,0
16534001,562,1,65,0
16534001,563,1,65,0
16553001,107,1,35,0
16625001,12,1,10,0
16965001,93,1,3,0
17259001,453,1,6,0
17454001,243,1,60,0
17801001,3,1,3,0
17896001,1002,1,7,0
18205001,220,1,10,0
18218001,1301,1,5,0
18237001,32,1,16,0
18267001,60,1,24,0
18267001,61,1,25,0
18444001,47,1,40,0
18468001,98,1,15,0
18468001,99,1,16,0
18508001,36,1,32,0
18508001,37,1,34,0
18515001,39,1,12,0
18534001,95,1,5,0
18536001,173,1,12,0
18566001,97,1,40,0
18651001,17,1,25,0
18688001,9,1,18,0
18792001,47,1,7,0
18883001,31,1,6,0
18954001,36,1,8,0
19024001,603,1,5,0
19041027,20,1,30,0
19092001,28,1,8,0
19167001,603,1,2,0
19174001,90,1,30,0
19204001,27,1,12,0
19213001,8,1,3,0
19432001,23,1,12,0
19521001,17,1,30,0
19637001,84,1,80,0
19689001,4,1,6,0
19705001,59,1,80,0
19995001,33,1,45,0
20011001,401,1,5,0
20077001,62,1,5,0
20098001,618,1,4,0
20406001,39,1,60,0
20614001,517,1,5,0
20628001,333,1,35,0
20628001,334,1,45,0
20631001,4,1,3,0
20833001,36,1,70,0
21167001,503,1,3,0
21171001,188,1,12,0
21345001,88,1,4,0
21352001,79,1,20,0
21370001,31,1,65,0
21405001,14,1,25,0
21621001,7,1,20,0
21667001,304,1,2,0
21667001,401,1,4,0
21819001,328,1,52,0
21820001,314,1,54,0
21820001,315,1,65,0
21846001,39,1,6,0
21934001,34,1,55,0
21938001,2,1,16,0
22051001,71,1,2,0
22095001,884,1,2,0
22197001,135,1,45,0
22197001,136,1,45,0
22338001,6,1,15,0
22377001,9,1,20,0
22476001,90,1,12,0
22477001,191,1,4,0
22488001,67,1,15,0
22488001,68,1,15,0
22497001,1303,1,10,0
22505001,54,1,2,0
22544001,603,1,11,0
22618001,67,1,150,0
22664001,61,1,26,0
22673001,4,1,18,0
22673001,5,1,3,0
22678001,1302,1,16,0
22695001,9,1,14,0
22702001,3,1,10,0
22798001,69,1,2,0
22982001,25,1,7,0
23032001,2501,1,5,0
23033001,64,1,12,0
23207001,63,1,25,0
23207001,64,1,25,0
23208001,63,1,50,0
23211001,63,1,30,0
23233001,301,1,6,0
23597001,58,1,20,0
23624001,14,1,3,0
23685001,6,1,20,0
23887001,57,1,16,0
23905001,1601,1,20,0
23906001,26,1,60,0
23906001,2501,1,50,0
23907001,1601,1,40,0
23909001,801,1,15,0
23912001,301,1,2,0
24198001,3,1,6,0
24353001,26,1,6,0
24383001,25,1,12,0
24395001,25,1,5,0
24577001,54,1,32,0
24628001,1904,1,2,0
24662001,48,1,40,0
24662001,49,1,36,0
24664001,54,1,40,0
24675002,3301,1,4,0
24687001,11,1,10,0
24724001,1501,1,17,0
24739001,24,1,32,0
24764001,16,1,5,0
24918001,10,1,20,0
25205001,19,1,30,0
25205001,20,1,30,0
25322001,5,1,25,0
25335001,1301,1,20,0
25661001,4,1,10,0
25728001,47,1,13,0
25805001,1301,1,20,0
25901002,10,1,2,0
25993001,9,1,6,0
26020001,44,1,5,0
26130001,295,1,3,0
26130001,296,1,4,0
26161001,44,1,7,0
26181001,179,1,11,0
26289001,903,1,9,0
26362001,42,1,20,0
26362001,43,1,24,0
26549001,44,1,65,0
26564001,10,1,12,0
26676001,162,1,30,0
26676001,163,1,30,0
26798001,303,1,10,0
26813001,3902,1,4,0
26858001,17,1,12,0
26985001,14,1,15,0
27046001,14,1,15,0
27075001,1204,1,5,0
27078001,38,1,4,0
27164001,16,1,15,0
27261001,26,1,6,0
27373001,475,1,85,0
27402001,19,1,18,0
27573001,1301,1,2,0
27573001,1303,1,3,0
27573001,1304,1,2,0
27579001,1304,1,8,0
28132001,35,1,90,0
28250001,36,1,70,0
28693001,2,1,5,0
28811001,35,1,10,0
28900001,17,1,15,0
29099001,31,1,34,0
29099001,32,1,36,0
29104001,6,1,20,0
29261001,31,1,30,0
29330001,802,1,2,0
29330001,902,1,2,0
29434001,302,1,3,0
29498001,10,1,6,0
29577001,15,1,13,0
29580001,10,1,4,0
29608001,2,1,4,0
29653001,7,1,20,0
29658001,4,1,8,0
29827001,30,1,50,0
29839001,27,1,20,0
29935001,141,1,50,0
29936001,2,1,2,0
30031001,12,1,25,0
30382001,301,1,10,0
30540001,4,1,30,0
30545001,24,1,60,0
30569001,25,1,10,0
30581001,202,1,6,0
30638001,7,1,20,0
30950001,23,1,10,0
30961001,23,1,12,0
30962001,23,1,14,0
30998001,4,1,3,0
31077001,9,1,32,0
31080001,286,1,50,0
31080001,287,1,50,0
31172001,10,1,30,0
31547001,6,1,35,0
31548001,10,1,20,0
31562001,30,1,7,0
31963001,9,1,7,0
32010001,192,1,40,0
32224001,301,1,2,0
32332001,18,1,15,0
32435001,3603,1,3,0
32686001,5,1,35,0
32688001,201,1,10,0
33379001,201,1,5,0
33919001,8,1,12,0
34464001,8,1,7,0
34559001,11,1,64,0
34594001,4,1,25,0
34692001,7,1,4,0
34723001,7,1,15,0
34764001,2,1,22,0
34953001,2,1,2,0
35662001,2,1,30,0
35712001,5,1,42,0
35855001,2,1,30,0
35864001,2,1,14,0
35878001,1227,1,5,0
35878001,1328,1,5,0
35915001,1,1,10,0
36104001,103,1,2,0
36106001,102,1,6,0
36404001,102,1,3,0
36471001,9,1,6,0
36506001,103,1,4,0
36577001,26,1,5,0
36675001,102,1,10,0
36729001,102,1,30,0
36734001,7,1,35,0
36778001,102,1,10,0
36868001,102,1,5,0
37026001,8,1,12,0
37159090,1,1,4,0
37225001,102,1,5,0
37446001,702,1,5,0
37516001,2,1,30,0
37529001,2,1,5,0
37612030,2,1,10,0
37618001,2,1,7,0
37779001,101,1,3,0
37948001,801,1,3,0
37976001,1101,1,7,0
38023001,1,1,5,0
38182001,1,1,6,0
38194001,1,1,25,0
38242001,1,1,10,0
38333001,1,1,24,0
38454001,1,1,16,0
38536001,1,1,8,0
38574001,101,1,80,0
38575001,101,1,3,0
38582001,25,1,2,0
38668001,101,1,180,0
38669001,101,1,8,0
38673001,1,1,3,0
38741001,2,1,27,0
38764001,101,1,2,0
38769001,1,1,7,0
38793001,9,1,6,0
38812001,2,1,7,0
38813001,1,1,5,0
38831001,1,1,12,0
38834001,1,1,40,0
38836001,294,1,4,0
38982001,1,1,20,0
38983001,1,1,11,0
38997001,3,1,2,0
38998001,3,1,2,0
38999001,3,1,2,0
39001001,3,1,2,0
39012001,1,1,80,0
39013001,1,1,3,0
39014001,2013,1,4,0
39025001,1,1,7,0
39025001,2,1,6,0
39025001,3,1,6,0
39025001,4,1,6,0
39043001,1,1,15,0
39048001,1,1,10,0
39059001,1,1,5,0
39069001,1,1,7,0
39092001,1,1,3,0
39097001,4,1,3,0
39119001,1,1,5,0
39158025,1,1,16,0
39162001,1,1,8,0
39192001,1,1,7,0
39336001,1,1,150,0
39337001,1,1,8,0
39385001,1,1,5,0
39411001,1,1,10,0
43569001,43,1,20,0
56430001,317,1,220,0
56780001,316,1,70,0
61310001,1012,1,22,0
61310001,1013,1,22,0
61310001,1014,1,22,0
64960001,311,1,35,0
65210001,299,1,32,0
73330001,222,1,30,0
73700001,248,1,12,0
73700001,249,1,13,0
74390001,337,1,30,0
75520001,220,1,11,0
83400001,210,1,12,0
84320001,209,1,40,0
84320001,210,1,40,0
85860001,80,1,20,0
85880001,209,1,38,0
86800001,25,1,80,0
87450001,205,1,12,0
89950001,204,1,35,0
90370001,203,1,35,0
90370001,204,1,35,0
94370001,860,1,80,0
94370001,861,1,90,0
94940001,2013,1,50,0
95320001,278,1,20,0
95320001,279,1,20,0
95340001,220,1,30,0
95350001,221,1,30,0
95350001,222,1,30,0
95430001,295,1,40,0
95440001,296,1,30,0
95440001,297,1,50,0
95480001,235,1,40,0
95480001,236,1,50,0
95490001,221,1,20,0
95490001,222,1,20,0
95510001,294,1,30,0
95510001,295,1,35,0
95520001,296,1,30,0
95520001,297,1,30,0
95600001,221,1,40,0
95600001,222,1,40,0
95610001,222,1,45,0
95610001,223,1,45,0
95710001,209,1,35,0
95780001,222,1,50,0
95780001,223,1,60,0
95810001,296,1,30,0
95820001,296,1,20,0
95820001,297,1,20,0
95830001,299,1,35,0
95830001,300,1,35,0
95840001,247,1,30,0
95850001,272,1,30,0
95850001,273,1,30,0
95860001,272,1,35,0
